trial_id,objective_score,best_val_rmse,best_val_mae,best_train_rmse,best_train_mae,generalization_gap,best_epoch,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,norm_name,activation_name,text_max_features,text_min_df,text_svd_components,category_min_count
21,0.5352844227635234,0.5350612845316942,0.42067676240747626,0.5178299022134022,0.40477268053089965,0.01723138231829202,15,64,4e-05,0.0001,"[96, 48]",0.08,huber,layernorm,silu,3000,3,40,16
39,0.5359849905307804,0.5359849905307804,0.42442746234662604,0.5222228694450647,0.4109798799462033,0.013762121085715728,14,96,6e-05,0.0001,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,10
17,0.5365157683972834,0.5349421867042011,0.4213805335940737,0.504206369773378,0.39527227351193056,0.030735816930823168,15,64,4e-05,7e-05,"[160, 80]",0.12,huber,layernorm,silu,3000,3,32,16
43,0.5369344562386386,0.5369344562386386,0.43247384013551654,0.5302967009827407,0.4178863185891358,0.006637755255897826,15,96,5e-05,5e-05,"[96, 48]",0.15,huber,layernorm,silu,3000,3,24,12
87,0.5374761360725777,0.5374761360725777,0.427962200569384,0.5258628701791601,0.41168544806093665,0.011613265893417601,17,64,5e-05,0.0001,"[96, 48]",0.1,huber,layernorm,silu,3000,3,40,10
75,0.5379814068121112,0.5374640615938047,0.4395534132466172,0.5172906094107395,0.40818488468772257,0.02017345218306521,8,96,6e-05,0.00015,"[128, 64]",0.1,huber,layernorm,silu,3000,3,24,10
70,0.5380103620279372,0.537307714519039,0.429968294952855,0.5152812394300579,0.40492771526086163,0.022026475088981146,14,64,4e-05,0.0002,"[160, 80]",0.1,huber,layernorm,silu,3000,3,24,16
59,0.5382338304948782,0.5382338304948782,0.4351492946798151,0.5258249789370978,0.4125732108744608,0.012408851557780376,6,64,6e-05,0.0002,"[160, 80]",0.12,huber,layernorm,silu,3000,3,24,10
90,0.5389091035432452,0.5386404126966369,0.4396287621873798,0.5209535042305538,0.41159824973427206,0.017686908466083118,9,64,6e-05,5e-05,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,16
60,0.5398780212954807,0.5388455122088339,0.43216447468959923,0.513520421342366,0.4047078884142335,0.025325090866467947,14,64,4e-05,0.0002,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,16
35,0.540317570838131,0.540317570838131,0.42794726617408524,0.529904709460607,0.4142516709692467,0.010412861377524063,9,96,6e-05,0.0001,"[128, 64]",0.08,huber,layernorm,silu,3000,3,32,10
64,0.5410876439780224,0.5383210888033327,0.43569967674486565,0.4956555370564358,0.39110832434096093,0.04266555174689696,15,96,5e-05,0.0002,"[160, 80]",0.1,huber,layernorm,silu,3000,3,40,10
89,0.541291374673387,0.541291374673387,0.4337138725049568,0.5323641578834281,0.4189196034510564,0.008927216789958892,6,64,6e-05,0.00015,"[128, 64]",0.1,huber,layernorm,silu,3000,3,32,12
